Date,PortfolioName,Action,Asset,QuantityChange,ValueChange
2024-04-10,Tech Fund,Sell,GOOGL,-73,14314.21
2024-04-11,Dividend Fund,Sell,BABA,-57,26570.66
2024-04-12,Value Fund,Buy,GOOGL,82,30172.75
2024-04-13,Tech Fund,Sell,AAPL,-23,1815.04
2024-04-14,Tech Fund,Sell,AMZN,-3,517.04
2024-04-15,Growth Fund,Sell,META,-37,2389.96
2024-04-16,Tech Fund,Sell,GOOG,-79,15109.35
2024-04-17,Growth Fund,Buy,NFLX,49,12471.82
2024-04-18,Tech Fund,Buy,BABA,65,6549.64
2024-04-19,Value Fund,Sell,BABA,-68,26024.32
2024-04-20,Tech Fund,Sell,NFLX,-18,7840.06
2024-04-21,Value Fund,Sell,AAPL,-18,8177.02
2024-04-22,Tech Fund,Sell,TSLA,-82,14156.96
2024-04-23,Tech Fund,Sell,GOOG,-44,13415.67
2024-04-24,Dividend Fund,Sell,GOOG,-33,7245.92
2024-04-25,Growth Fund,Buy,AAPL,89,14466.91
2024-04-26,Growth Fund,Buy,GOOG,44,13238.7
2024-04-27,Value Fund,Sell,NFLX,-79,10261.7
2024-04-28,Growth Fund,Buy,META,74,20873.55
2024-04-29,Value Fund,Buy,GOOGL,36,14923.34
2024-04-30,Growth Fund,Sell,NFLX,-24,2016.73
2024-05-01,Growth Fund,Buy,AMZN,79,11476.83
2024-05-02,Dividend Fund,Sell,NVDA,-41,5794.49
2024-05-03,Value Fund,Buy,META,90,36148.49
2024-05-04,Tech Fund,Buy,GOOGL,70,12565.55
2024-05-05,Dividend Fund,Sell,GOOG,-9,2770.05
2024-05-06,Value Fund,Sell,NFLX,-26,11892.74
2024-05-07,Dividend Fund,Sell,MSFT,-86,16816.38
2024-05-08,Dividend Fund,Sell,META,-16,2678.81
2024-05-09,Tech Fund,Buy,NFLX,38,2153.01
2024-05-10,Value Fund,Buy,TSLA,80,19451.57
2024-05-11,Tech Fund,Buy,NFLX,30,3844.47
2024-05-12,Tech Fund,Buy,AAPL,25,1692.65
2024-05-13,Value Fund,Sell,META,-72,5858.61
2024-05-14,Value Fund,Sell,GOOGL,-14,3817.82
2024-05-15,Tech Fund,Buy,MSFT,58,4976.6
2024-05-16,Tech Fund,Buy,AAPL,54,13081.87
2024-05-17,Dividend Fund,Buy,BABA,31,7121.33
2024-05-18,Growth Fund,Buy,AMZN,69,20851.11
2024-05-19,Growth Fund,Sell,NVDA,-15,6361.31
2024-05-20,Growth Fund,Buy,GOOGL,89,20864.46
2024-05-21,Growth Fund,Sell,AAPL,-17,2003.34
2024-05-22,Tech Fund,Sell,AAPL,-98,30915.39
2024-05-23,Growth Fund,Sell,BABA,-81,11377.99
2024-05-24,Tech Fund,Sell,TSLA,-35,4551.76
2024-05-25,Growth Fund,Buy,AMZN,39,12522.28
2024-05-26,Tech Fund,Buy,NFLX,55,4143.13
2024-05-27,Dividend Fund,Sell,META,-98,6052.88
2024-05-28,Value Fund,Buy,NFLX,64,30255.87
2024-05-29,Dividend Fund,Sell,NVDA,-8,680.25
2024-05-30,Value Fund,Buy,META,91,14087.69
2024-05-31,Value Fund,Buy,META,52,21523.92
2024-06-01,Growth Fund,Buy,NVDA,33,5956.1
2024-06-02,Value Fund,Buy,META,57,8466.07
2024-06-03,Value Fund,Buy,GOOGL,59,16585.89
2024-06-04,Value Fund,Sell,META,-69,10236.87
2024-06-05,Tech Fund,Sell,TSLA,-66,18941.91
2024-06-06,Tech Fund,Buy,META,39,9569.54
2024-06-07,Tech Fund,Sell,TSLA,-61,30137.43
2024-06-08,Dividend Fund,Sell,MSFT,-12,1324.02
2024-06-09,Value Fund,Sell,GOOG,-51,14073.2
2024-06-10,Tech Fund,Sell,GOOG,-74,31842.37
2024-06-11,Tech Fund,Sell,META,-10,4054.1
2024-06-12,Tech Fund,Sell,GOOGL,-55,22582.95
2024-06-13,Growth Fund,Buy,NFLX,85,30071.82
2024-06-14,Growth Fund,Sell,GOOG,-91,35212.27
2024-06-15,Growth Fund,Sell,BABA,-15,7203.77
2024-06-16,Value Fund,Buy,BABA,38,6534.17
2024-06-17,Dividend Fund,Sell,META,-98,39362.17
2024-06-18,Tech Fund,Buy,NVDA,69,23171.6
2024-06-19,Dividend Fund,Buy,GOOGL,47,10265.88
2024-06-20,Growth Fund,Buy,MSFT,35,17222.01
2024-06-21,Tech Fund,Buy,AAPL,30,12578.29
2024-06-22,Value Fund,Buy,GOOGL,69,6726.82
2024-06-23,Growth Fund,Buy,AAPL,39,7909.45
2024-06-24,Tech Fund,Buy,META,70,22668.2
2024-06-25,Growth Fund,Buy,BABA,18,5254.67
2024-06-26,Growth Fund,Sell,TSLA,-6,2612.93
2024-06-27,Value Fund,Sell,NFLX,-75,20241.54
2024-06-28,Tech Fund,Sell,GOOGL,-19,5075.62
2024-06-29,Growth Fund,Sell,BABA,-6,2398.14
2024-06-30,Growth Fund,Buy,NFLX,66,31968.33
2024-07-01,Growth Fund,Buy,AMZN,52,21070.19
2024-07-02,Tech Fund,Sell,GOOGL,-45,19841.47
2024-07-03,Tech Fund,Sell,NVDA,-17,6418.47
2024-07-04,Tech Fund,Sell,AAPL,-43,16655.27
2024-07-05,Tech Fund,Buy,NVDA,72,22317.83
2024-07-06,Dividend Fund,Buy,AMZN,22,6600.95
2024-07-07,Value Fund,Sell,TSLA,-32,7390.7
2024-07-08,Dividend Fund,Buy,BABA,24,5603.63
2024-07-09,Tech Fund,Sell,AAPL,-37,7589.58
2024-07-10,Tech Fund,Buy,TSLA,75,30123.91
2024-07-11,Tech Fund,Buy,MSFT,8,1120.25
2024-07-12,Growth Fund,Sell,TSLA,-98,12509.46
2024-07-13,Value Fund,Buy,MSFT,86,10694.45
2024-07-14,Tech Fund,Sell,META,-79,12833.26
2024-07-15,Tech Fund,Buy,AMZN,49,15835.66
2024-07-16,Dividend Fund,Buy,MSFT,7,693.13
2024-07-17,Growth Fund,Sell,GOOGL,-32,13652.5
2024-07-18,Tech Fund,Buy,AMZN,61,16992.85
2024-07-19,Tech Fund,Sell,AAPL,-3,636.13
2024-07-20,Tech Fund,Sell,AMZN,-92,5362.38
2024-07-21,Value Fund,Buy,GOOGL,77,31986.16
2024-07-22,Tech Fund,Sell,AAPL,-40,10791.39
2024-07-23,Value Fund,Sell,GOOGL,-83,7618.68
2024-07-24,Growth Fund,Buy,BABA,21,9866.6
2024-07-25,Tech Fund,Sell,NVDA,-57,27152.1
2024-07-26,Value Fund,Buy,GOOG,38,8833.3
2024-07-27,Tech Fund,Buy,NFLX,61,24599.62
2024-07-28,Tech Fund,Buy,TSLA,94,27966.58
2024-07-29,Dividend Fund,Sell,TSLA,-92,30974.56
2024-07-30,Growth Fund,Buy,MSFT,11,4353.26
2024-07-31,Growth Fund,Buy,GOOGL,82,34748.86
2024-08-01,Value Fund,Buy,GOOG,74,31433.84
2024-08-02,Value Fund,Sell,GOOGL,-38,10651.71
2024-08-03,Value Fund,Buy,AMZN,62,18805.59
2024-08-04,Growth Fund,Buy,GOOGL,99,7481.95
2024-08-05,Growth Fund,Buy,GOOG,42,12415.16
2024-08-06,Value Fund,Buy,NVDA,47,16763.87
2024-08-07,Tech Fund,Buy,MSFT,61,24841.08
2024-08-08,Value Fund,Sell,MSFT,-8,1257.34
2024-08-09,Tech Fund,Buy,MSFT,72,35043.53
2024-08-10,Value Fund,Buy,AAPL,36,17405.31
2024-08-11,Growth Fund,Buy,GOOG,28,5040.23
2024-08-12,Dividend Fund,Buy,GOOG,87,20136.66
2024-08-13,Dividend Fund,Buy,AMZN,84,39546.02
2024-08-14,Value Fund,Buy,GOOGL,55,7459.2
2024-08-15,Tech Fund,Sell,NFLX,-87,33383.4
2024-08-16,Tech Fund,Buy,NVDA,84,30249.58
2024-08-17,Value Fund,Buy,GOOGL,14,2706.22
2024-08-18,Dividend Fund,Buy,GOOGL,81,9202.1
2024-08-19,Growth Fund,Buy,NFLX,24,2607.4
2024-08-20,Dividend Fund,Sell,GOOGL,-15,6447.22
2024-08-21,Growth Fund,Sell,META,-54,23296.08
2024-08-22,Value Fund,Buy,META,44,14009.72
2024-08-23,Value Fund,Sell,NVDA,-35,11992.37
2024-08-24,Growth Fund,Buy,GOOGL,66,10315.44
2024-08-25,Tech Fund,Buy,AAPL,59,26941.33
2024-08-26,Growth Fund,Sell,MSFT,-28,13013.57
2024-08-27,Tech Fund,Sell,NVDA,-3,647.2
2024-08-28,Value Fund,Sell,META,-70,19195.89
2024-08-29,Tech Fund,Sell,MSFT,-70,31466.69
2024-08-30,Tech Fund,Buy,AMZN,83,9948.75
2024-08-31,Growth Fund,Sell,NVDA,-39,13572.39
2024-09-01,Value Fund,Sell,TSLA,-41,8594.32
2024-09-02,Dividend Fund,Sell,NFLX,-27,7493.51
2024-09-03,Growth Fund,Buy,AMZN,47,22622.21
2024-09-04,Tech Fund,Buy,AAPL,5,2408.11
2024-09-05,Growth Fund,Sell,GOOGL,-4,1300.68
2024-09-06,Dividend Fund,Buy,NVDA,36,1982.82
2024-09-07,Growth Fund,Buy,NFLX,91,37243.02
2024-09-08,Tech Fund,Sell,MSFT,-5,2410.53
2024-09-09,Growth Fund,Sell,NFLX,-81,17446.77
2024-09-10,Growth Fund,Sell,AAPL,-88,11244.03
2024-09-11,Dividend Fund,Buy,NVDA,94,26059.23
2024-09-12,Tech Fund,Buy,GOOGL,21,7869.51
2024-09-13,Dividend Fund,Buy,AMZN,28,5256.75
2024-09-14,Value Fund,Buy,TSLA,47,18160.69
2024-09-15,Dividend Fund,Buy,AAPL,7,2717.06
2024-09-16,Growth Fund,Buy,GOOGL,71,34914.61
2024-09-17,Value Fund,Sell,GOOGL,-84,18262.9
2024-09-18,Value Fund,Sell,MSFT,-38,8736.08
2024-09-19,Tech Fund,Sell,GOOG,-30,10361.43
2024-09-20,Value Fund,Sell,AMZN,-72,11871.48
2024-09-21,Dividend Fund,Sell,BABA,-62,10391.4
2024-09-22,Dividend Fund,Sell,META,-74,17365.13
2024-09-23,Growth Fund,Buy,AMZN,8,2162.98
2024-09-24,Tech Fund,Sell,MSFT,-53,14866.08
2024-09-25,Value Fund,Sell,BABA,-93,29050.33
2024-09-26,Dividend Fund,Buy,BABA,80,23870.74
2024-09-27,Growth Fund,Buy,AAPL,32,11601.81
2024-09-28,Value Fund,Buy,AMZN,7,1159.49
2024-09-29,Tech Fund,Sell,GOOGL,-91,37282.88
2024-09-30,Value Fund,Buy,META,74,31785.05
2024-10-01,Value Fund,Buy,NVDA,29,12313.42
2024-10-02,Tech Fund,Sell,NFLX,-89,42684.71
2024-10-03,Growth Fund,Sell,NVDA,-50,22178.9
2024-10-04,Dividend Fund,Sell,NFLX,-100,21260.09
2024-10-05,Growth Fund,Buy,AAPL,79,36335.75
2024-10-06,Tech Fund,Buy,GOOG,63,22080.68
2024-10-07,Value Fund,Sell,NVDA,-59,29301.08
2024-10-08,Value Fund,Buy,META,50,23449.11
2024-10-09,Value Fund,Buy,MSFT,21,1406.77
2024-10-10,Tech Fund,Sell,NVDA,-90,5717.91
2024-10-11,Tech Fund,Buy,NVDA,41,2666.1
2024-10-12,Tech Fund,Buy,GOOGL,4,1713.28
2024-10-13,Growth Fund,Buy,NFLX,34,10299.73
2024-10-14,Growth Fund,Sell,TSLA,-57,12360.63
2024-10-15,Tech Fund,Sell,META,-98,20532.53
2024-10-16,Dividend Fund,Buy,GOOG,34,5667.14
2024-10-17,Tech Fund,Sell,TSLA,-28,4245.15
2024-10-18,Value Fund,Sell,GOOGL,-53,11896.7
2024-10-19,Value Fund,Buy,AMZN,39,7087.49
2024-10-20,Growth Fund,Sell,GOOG,-86,23166.61
2024-10-21,Growth Fund,Sell,AMZN,-71,5906.44
2024-10-22,Value Fund,Buy,NFLX,31,11154.7
2024-10-23,Growth Fund,Sell,NVDA,-55,20609.37
2024-10-24,Dividend Fund,Sell,AAPL,-63,4981.09
2024-10-25,Growth Fund,Buy,META,41,11903.93
2024-10-26,Growth Fund,Sell,GOOG,-71,19361.15
2024-10-27,Tech Fund,Buy,MSFT,8,818.36
2024-10-28,Value Fund,Sell,META,-70,26872.74
2024-10-29,Growth Fund,Sell,NVDA,-58,26380.71
2024-10-30,Tech Fund,Sell,NFLX,-5,858.75
2024-10-31,Value Fund,Sell,GOOG,-92,9527.21
2024-11-01,Value Fund,Sell,AAPL,-78,5589.6
2024-11-02,Value Fund,Sell,NVDA,-59,14429.75
2024-11-03,Growth Fund,Buy,GOOG,76,29295.31
2024-11-04,Dividend Fund,Sell,MSFT,-8,1871.37
2024-11-05,Tech Fund,Buy,NVDA,39,9552.42
2024-11-06,Tech Fund,Buy,BABA,98,16992.56
2024-11-07,Growth Fund,Sell,GOOG,-22,3654.29
2024-11-08,Value Fund,Buy,TSLA,40,15147.86
2024-11-09,Tech Fund,Buy,META,4,390.83
2024-11-10,Growth Fund,Buy,MSFT,61,27034.87
2024-11-11,Tech Fund,Sell,AAPL,-85,28978.37
2024-11-12,Growth Fund,Buy,META,70,9346.47
2024-11-13,Tech Fund,Sell,BABA,-49,6804.06
2024-11-14,Value Fund,Buy,GOOG,46,10986.18
2024-11-15,Dividend Fund,Buy,META,43,21331.77
2024-11-16,Tech Fund,Sell,BABA,-46,17688.68
2024-11-17,Value Fund,Buy,BABA,2,849.37
2024-11-18,Dividend Fund,Sell,GOOGL,-25,9557.47
2024-11-19,Dividend Fund,Sell,META,-21,5293.78
2024-11-20,Tech Fund,Buy,GOOG,9,2931.44
2024-11-21,Tech Fund,Buy,META,49,21349.25
2024-11-22,Tech Fund,Buy,MSFT,87,16477.19
2024-11-23,Dividend Fund,Buy,GOOGL,11,4301.95
2024-11-24,Value Fund,Sell,NFLX,-27,2868.51
2024-11-25,Dividend Fund,Sell,GOOG,-15,1378.43
2024-11-26,Growth Fund,Sell,GOOG,-49,12760.86
2024-11-27,Dividend Fund,Buy,MSFT,66,28270.71
2024-11-28,Dividend Fund,Buy,GOOG,5,788.53
2024-11-29,Value Fund,Sell,MSFT,-85,22216.19
2024-11-30,Growth Fund,Sell,GOOGL,-94,13119.57
2024-12-01,Growth Fund,Sell,TSLA,-41,4258.12
2024-12-02,Dividend Fund,Buy,GOOGL,100,47402.5
2024-12-03,Growth Fund,Buy,MSFT,91,26548.28
2024-12-04,Dividend Fund,Buy,NVDA,68,32492.28
2024-12-05,Value Fund,Sell,AAPL,-94,41934.51
2024-12-06,Value Fund,Sell,GOOGL,-62,26328.04
2024-12-07,Dividend Fund,Buy,AMZN,100,8073.58
2024-12-08,Dividend Fund,Sell,NFLX,-58,18845.62
2024-12-09,Value Fund,Buy,GOOG,20,9536.77
2024-12-10,Growth Fund,Buy,GOOGL,88,11215.3
2024-12-11,Tech Fund,Sell,NVDA,-60,9781.27
2024-12-12,Tech Fund,Sell,NVDA,-29,10351.93
2024-12-13,Dividend Fund,Buy,TSLA,87,7543.48
2024-12-14,Dividend Fund,Sell,GOOG,-85,24116.78
2024-12-15,Value Fund,Buy,GOOG,86,4811.24
2024-12-16,Tech Fund,Sell,NFLX,-71,34893.23
2024-12-17,Tech Fund,Sell,GOOGL,-72,6964.82
2024-12-18,Dividend Fund,Buy,NFLX,94,15624.22
2024-12-19,Tech Fund,Sell,MSFT,-25,5148.8
2024-12-20,Tech Fund,Buy,AAPL,75,7688.92
2024-12-21,Tech Fund,Sell,BABA,-29,7306.81
2024-12-22,Value Fund,Buy,AMZN,75,6122.42
2024-12-23,Value Fund,Buy,NFLX,37,17717.54
2024-12-24,Growth Fund,Buy,GOOGL,36,10063.2
2024-12-25,Tech Fund,Sell,BABA,-48,4675.47
2024-12-26,Tech Fund,Buy,MSFT,71,24540.11
2024-12-27,Value Fund,Buy,AAPL,76,9589.69
2024-12-28,Dividend Fund,Sell,META,-45,11800.69
2024-12-29,Growth Fund,Buy,GOOGL,11,4396.11
2024-12-30,Tech Fund,Sell,GOOGL,-79,30430.57
2024-12-31,Tech Fund,Sell,AAPL,-34,3301.99
2025-01-01,Growth Fund,Buy,META,71,33915.65
2025-01-02,Value Fund,Buy,NFLX,67,7147.07
2025-01-03,Value Fund,Buy,AMZN,38,14177.26
2025-01-04,Tech Fund,Sell,NVDA,-24,11297.81
2025-01-05,Tech Fund,Sell,AAPL,-88,26679.75
2025-01-06,Growth Fund,Sell,AMZN,-54,11609.65
2025-01-07,Tech Fund,Buy,GOOGL,25,7623.23
2025-01-08,Value Fund,Buy,BABA,45,11453.76
2025-01-09,Dividend Fund,Buy,TSLA,5,1397.87
2025-01-10,Tech Fund,Buy,NVDA,2,952.8
2025-01-11,Dividend Fund,Sell,AMZN,-75,9329.64
2025-01-12,Dividend Fund,Buy,AMZN,48,18339.01
2025-01-13,Tech Fund,Buy,AMZN,13,738.98
2025-01-14,Dividend Fund,Sell,GOOGL,-23,4258.75
2025-01-15,Value Fund,Sell,META,-72,25377.02
2025-01-16,Value Fund,Sell,GOOGL,-70,23911.21
2025-01-17,Growth Fund,Sell,GOOG,-26,9892.98
2025-01-18,Tech Fund,Sell,AAPL,-67,5510.02
2025-01-19,Growth Fund,Buy,NFLX,24,2418.46
2025-01-20,Dividend Fund,Buy,NFLX,75,33996.26
2025-01-21,Tech Fund,Buy,GOOG,61,7887.21
2025-01-22,Value Fund,Sell,GOOGL,-41,11074.44
2025-01-23,Dividend Fund,Buy,TSLA,15,1005.21
2025-01-24,Dividend Fund,Buy,NFLX,3,476.7
2025-01-25,Dividend Fund,Sell,GOOG,-71,33023.22
2025-01-26,Dividend Fund,Sell,MSFT,-38,12439.69
2025-01-27,Value Fund,Sell,MSFT,-5,1167.54
2025-01-28,Dividend Fund,Sell,TSLA,-39,2793.01
2025-01-29,Tech Fund,Buy,MSFT,26,2330.02
2025-01-30,Growth Fund,Sell,MSFT,-54,15774.84
2025-01-31,Growth Fund,Buy,AMZN,30,1536.24
2025-02-01,Growth Fund,Buy,GOOGL,40,14295.67
2025-02-02,Growth Fund,Buy,NVDA,89,19486.34
2025-02-03,Value Fund,Sell,GOOGL,-97,24859.1
2025-02-04,Growth Fund,Sell,TSLA,-10,3330.89
2025-02-05,Value Fund,Sell,AMZN,-21,8519.43
2025-02-06,Growth Fund,Buy,META,22,8779.56
2025-02-07,Tech Fund,Sell,BABA,-41,4980.85
2025-02-08,Tech Fund,Sell,MSFT,-66,22573.79
2025-02-09,Tech Fund,Buy,NFLX,98,45597.71
2025-02-10,Value Fund,Sell,TSLA,-94,21609.21
2025-02-11,Value Fund,Sell,AAPL,-6,2871.2
2025-02-12,Value Fund,Buy,AMZN,44,5307.21
2025-02-13,Tech Fund,Sell,NFLX,-16,6170.66
2025-02-14,Growth Fund,Sell,AAPL,-37,12808.4
2025-02-15,Value Fund,Sell,META,-27,8763.19
2025-02-16,Tech Fund,Sell,AAPL,-55,18112.67
2025-02-17,Tech Fund,Sell,TSLA,-12,2813.95
2025-02-18,Value Fund,Buy,META,62,26856.89
2025-02-19,Value Fund,Buy,META,78,31998.64
2025-02-20,Value Fund,Sell,AMZN,-27,11925.94
2025-02-21,Growth Fund,Buy,BABA,93,21371.87
2025-02-22,Dividend Fund,Buy,AMZN,71,12361.47
2025-02-23,Value Fund,Buy,NFLX,27,9891.04
2025-02-24,Dividend Fund,Buy,TSLA,28,10866.34
2025-02-25,Growth Fund,Sell,AAPL,-57,11536.28
2025-02-26,Tech Fund,Sell,NVDA,-37,15810.96
2025-02-27,Dividend Fund,Sell,META,-42,15831.25
2025-02-28,Value Fund,Sell,MSFT,-92,30862.83
2025-03-01,Dividend Fund,Sell,TSLA,-73,23229.83
2025-03-02,Dividend Fund,Buy,NVDA,72,6944.72
2025-03-03,Dividend Fund,Sell,NFLX,-80,11858.58
2025-03-04,Value Fund,Sell,BABA,-19,4785.01
2025-03-05,Value Fund,Sell,NFLX,-18,6469.56
2025-03-06,Value Fund,Buy,META,10,3760.26
2025-03-07,Tech Fund,Buy,META,27,12179.05
2025-03-08,Dividend Fund,Buy,GOOG,17,7526.69
2025-03-09,Value Fund,Buy,BABA,70,29262.12
2025-03-10,Tech Fund,Sell,NFLX,-7,2923.19
2025-03-11,Growth Fund,Sell,MSFT,-21,7978.39
2025-03-12,Tech Fund,Buy,GOOGL,28,13682.7
2025-03-13,Growth Fund,Sell,GOOGL,-48,13356.34
2025-03-14,Growth Fund,Buy,NFLX,61,17432.71
2025-03-15,Growth Fund,Sell,MSFT,-91,14735.8
2025-03-16,Growth Fund,Buy,BABA,6,459.15
2025-03-17,Dividend Fund,Buy,GOOG,43,11396.7
2025-03-18,Growth Fund,Buy,MSFT,70,17061.5
2025-03-19,Growth Fund,Sell,AMZN,-20,6694.49
2025-03-20,Growth Fund,Sell,AMZN,-69,27869.65
2025-03-21,Tech Fund,Buy,GOOGL,92,44886.44
2025-03-22,Dividend Fund,Buy,MSFT,99,21724.2
2025-03-23,Value Fund,Sell,BABA,-41,16448.63
2025-03-24,Value Fund,Buy,META,13,5111.25
2025-03-25,Tech Fund,Buy,TSLA,58,26300.17
2025-03-26,Growth Fund,Sell,TSLA,-59,29167.29
2025-03-27,Growth Fund,Sell,MSFT,-49,2450.32
2025-03-28,Growth Fund,Sell,AMZN,-45,14675.47
2025-03-29,Growth Fund,Sell,MSFT,-46,16409.8
2025-03-30,Value Fund,Sell,BABA,-43,4928.95
2025-03-31,Tech Fund,Buy,META,84,12533.45
2025-04-01,Dividend Fund,Buy,AAPL,87,26730.11
2025-04-02,Tech Fund,Buy,AAPL,4,1592.81
2025-04-03,Dividend Fund,Buy,NVDA,59,13093.9
2025-04-04,Dividend Fund,Sell,MSFT,-80,4408.47
2025-04-05,Dividend Fund,Sell,NVDA,-24,3923.34
2025-04-06,Tech Fund,Buy,AAPL,22,5150.37
